name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full
AIR,AIR,AL,Morgan,1890.0,1893.0,True,7.0,425,True,3.0,True,AIR,MORGAN,AL,124179.0,Populated Place,Air,Morgan,34.3739838,-86.7622215,350.0,1.0,34.3739838,-86.7622215,Alabama
AIR LINE,AIR LINE,GA,Hart,1856.0,1907.0,True,4.0,426,True,51.0,True,AIR LINE,HART,GA,354267.0,Locale,Air Line,Hart,34.3626042,-83.0304246,287.0,1.0,34.3626042,-83.0304246,Georgia
AIR MOUNT,AIR MOUNT,AL,Clarke,1839.0,1889.0,False,5.0,427,True,50.0,True,AIR MOUNT,CLARKE,AL,163340.0,Post Office,Air Mount Post Office (historical),Clarke,31.9715397,-87.6680584,70.0,1.0,31.9715397,-87.6680584,Alabama
AIREY,AIREY,MS,Harrison,1881.0,1912.0,True,4.0,428,True,31.0,True,AIREY,HARRISON,MS,692379.0,Populated Place,Airey,Harrison,30.6485262,-89.0772648,43.0,1.0,30.6485262,-89.0772648,Mississippi
AIRMOUNT,AIRMOUNT,MS,Yalobusha,1860.0,1914.0,True,3.0,430,True,54.0,True,AIRMOUNT,YALOBUSHA,MS,705913.0,School,Airmount School (historical),Yalobusha,33.9628909,-89.5181359,101.0,1.0,33.9628909,-89.5181359,Mississippi
AIRY DALE,AIRY DALE,PA,Huntingdon,1854.0,1918.0,True,3.0,433,True,64.0,True,AIRYDALE,HUNTINGDON,PA,1168101.0,Populated Place,Airydale,Huntingdon,40.4845191,-77.8674978,290.0,0.888888888888889,40.4845191,-77.8674978,Pennsylvania
AITCH,AITCH,PA,Huntingdon,1887.0,1973.0,True,1.0,435,True,86.0,True,AITCH,HUNTINGDON,PA,1168102.0,Populated Place,Aitch,Huntingdon,40.3742421,-78.1591749,240.0,1.0,40.3742421,-78.1591749,Pennsylvania
AIX,AIX,SC,Greenwood,1895.0,1904.0,True,5.0,437,True,9.0,True,AIX,GREENWOOD,SC,1234038.0,Populated Place,Aix (historical),Greenwood,34.0792902,-82.170678,161.0,1.0,34.0792902,-82.170678,South Carolina
AJAX,AJAX,LA,Natchitoches,1899.0,1926.0,True,3.0,438,True,27.0,True,AJAX,NATCHITOCHES,LA,542914.0,Populated Place,Ajax,Natchitoches,31.8765528,-93.3898959,73.0,1.0,31.8765528,-93.3898959,Louisiana
AKARD,AKARD,MO,Cedar,1890.0,1907.0,True,5.0,442,True,17.0,True,AKARD,CEDAR,MO,745794.0,Locale,Akard,Cedar,37.7067052,-93.7477089,248.0,1.0,37.7067052,-93.7477089,Missouri
AKELEY,AKELEY,PA,Warren,1904.0,1963.0,True,1.0,443,True,59.0,True,AKELEY,WARREN,PA,1202953.0,Populated Place,Akeley,Warren,41.9647809,-79.1308791,378.0,1.0,41.9647809,-79.1308791,Pennsylvania
AKERS,AKERS,MO,Shannon,1884.0,1965.0,True,1.0,445,True,81.0,True,AKERS,SHANNON,MO,740619.0,Populated Place,Akers,Shannon,37.3761567,-91.5537547,251.0,1.0,37.3761567,-91.5537547,Missouri
AKERSVILLE,AKERSVILLE,PA,Fulton,1860.0,1935.0,True,2.0,446,True,75.0,True,AKERSVILLE,FULTON,PA,1202954.0,Populated Place,Akersville,Fulton,39.9784182,-78.1977878,371.0,1.0,39.9784182,-78.1977878,Pennsylvania
AKIN,AKIN,NY,Montgomery,1882.0,1912.0,False,1.0,449,True,30.0,True,AKIN,MONTGOMERY,NY,950482.0,Populated Place,Akin,Montgomery,42.9584075,-74.2329093,94.0,1.0,42.9584075,-74.2329093,New York
AKINSVILLE,AKINSVILLE,MO,Morgan,1880.0,1920.0,True,3.0,452,True,40.0,True,AKINSVILLE,MORGAN,MO,740617.0,Populated Place,Akinsville,Morgan,38.5580785,-92.8363059,302.0,1.0,38.5580785,-92.8363059,Missouri
AKRIDGE,AKRIDGE,GA,Grady,1894.0,1907.0,True,5.0,454,True,13.0,True,AKRIDGE,GRADY,GA,331006.0,Populated Place,Akridge,Grady,30.9832438,-84.160456,86.0,1.0,30.9832438,-84.160456,Georgia
AKRON,AKRON,MO,Harrison,1861.0,1908.0,True,4.0,455,True,47.0,True,AKRON,HARRISON,MO,713181.0,Populated Place,Akron,Harrison,40.5194475,-93.8174478,266.0,1.0,40.5194475,-93.8174478,Missouri
AKRON,AKRON,AR,Independence,1880.0,1900.0,True,6.0,457,True,20.0,True,AKRON,INDEPENDENCE,AR,67971.0,Populated Place,Akron (historical),Independence,35.6661893,-91.4487441,73.0,1.0,35.6661893,-91.4487441,Arkansas
ALABAM,ALABAM,AR,Madison,1882.0,1954.0,True,1.0,461,True,72.0,True,ALABAM,MADISON,AR,57252.0,Populated Place,Alabam,Madison,36.1525747,-93.6813021,463.0,1.0,36.1525747,-93.6813021,Arkansas
ALABAMA,ALABAMA,LA,Union,1878.0,1882.0,True,7.0,462,True,4.0,True,ALABAMA,UNION,LA,544040.0,Church,Alabama Methodist Church (historical),Union,32.8598658,-92.7254324,56.0,,32.8598658,-92.7254324,Louisiana
ALABAMA CITY,ALABAMA CITY,AL,Etowah,1891.0,1957.0,True,1.0,466,True,66.0,True,ALABAMA CITY,ETOWAH,AL,2788931.0,Post Office,Alabama City Post Office,Etowah,34.0210616,-86.0434983,167.0,1.0,34.0210616,-86.0434983,Alabama
ALABAMA FURNACE,ALABAMA FURNACE,AL,Talladega,1873.0,1884.0,True,4.0,467,True,11.0,True,ALABAMA FURNACE,TALLADEGA,AL,159858.0,Populated Place,Alabama Furnace,Talladega,33.5492723,-85.9363559,181.0,1.0,33.5492723,-85.9363559,Alabama
ALABAMA PORT,ALABAMA PORT,AL,Mobile,1905.0,1915.0,True,3.0,468,True,10.0,True,ALABAMA PORT,MOBILE,AL,154960.0,Populated Place,Alabama Port,Mobile,30.3629775,-88.1147216,2.0,1.0,30.3629775,-88.1147216,Alabama
ALACULSY,ALACULSY,GA,Murray,1878.0,1914.0,True,4.0,471,True,36.0,True,ALACULSY,MURRAY,GA,326925.0,Populated Place,Alaculsy,Murray,34.9886889,-84.6329894,294.0,1.0,34.9886889,-84.6329894,Georgia
ALAFIA,ALAFIA,FL,Hillsboro,1855.0,1920.0,False,3.0,473,True,65.0,True,ALAFIA,HILLSBOROUGH,FL,300103.0,Populated Place,Alafia,Hillsborough,27.9455797,-82.0795304,33.0,1.0,27.9455797,-82.0795304,Florida
ALAFLORA,ALAFLORA,AL,Escambia,1932.0,1939.0,True,4.0,474,True,7.0,True,ALAFLORA,ESCAMBIA,AL,161646.0,Locale,Alaflora,Escambia,31.0140697,-86.8463494,86.0,1.0,31.0140697,-86.8463494,Alabama
ALAGA,ALAGA,AL,Houston,1895.0,1930.0,True,2.0,475,True,35.0,True,ALAGA,HOUSTON,AL,112967.0,Populated Place,Alaga,Houston,31.1262925,-85.0724294,40.0,1.0,31.1262925,-85.0724294,Alabama
ALAHA,ALAHA,LA,Grant,1904.0,1904.0,True,7.0,477,True,0.0,True,ALOHA,GRANT,LA,553294.0,Populated Place,Aloha,Grant,31.5832265,-92.7723743,30.0,0.8,31.5832265,-92.7723743,Louisiana
ALAMANA,ALAMANA,FL,Volusia,1910.0,1929.0,True,3.0,478,True,19.0,True,ALAMANA,VOLUSIA,FL,294647.0,Populated Place,Alamana,Volusia,28.9430434,-81.1025585,10.0,1.0,28.9430434,-81.1025585,Florida
ALAMANDA,ALAMANDA,PA,Northampton,1878.0,1887.0,True,6.0,479,True,9.0,True,ALAMANDA,NORTHAMPTON,PA,1178416.0,Populated Place,Alamanda,Northampton,40.7870412,-75.2429562,208.0,1.0,40.7870412,-75.2429562,Pennsylvania
ALAMEDA,ALAMEDA,AL,Clarke,1897.0,1922.0,False,3.0,480,True,25.0,True,ALMEDA,CLARKE,AL,133570.0,Locale,Almeda (historical),Clarke,31.827932,-87.7402791,83.0,0.857142857142857,31.827932,-87.7402791,Alabama
ALAMO,ALAMO,AR,Montgomery,1894.0,1918.0,False,4.0,483,True,24.0,True,ALAMO,MONTGOMERY,AR,70415.0,Populated Place,Alamo,Montgomery,34.4739819,-93.4688001,225.0,1.0,34.4739819,-93.4688001,Arkansas
ALAMODE,ALAMODE,MO,Reynolds,1846.0,1909.0,False,3.0,486,True,63.0,True,ALAMODE,REYNOLDS,MO,1802779.0,Post Office,Alamode Post Office (historical),Reynolds,37.3131033,-90.9962359,266.0,1.0,37.3131033,-90.9962359,Missouri
ALAMUCHA,ALAMUCHA,MS,Lauderdale,1894.0,1903.0,True,5.0,487,True,9.0,True,ALAMUCHA,LAUDERDALE,MS,691662.0,Populated Place,Alamucha,Lauderdale,32.3587527,-88.4686468,95.0,1.0,32.3587527,-88.4686468,Mississippi
ALAMUTCHA,ALAMUTCHA,MS,Lauderdale,1840.0,1867.0,True,6.0,489,True,27.0,True,ALAMUTCHA,LAUDERDALE,MS,691662.0,Populated Place,Alamutcha,Lauderdale,32.3587527,-88.4686468,95.0,1.0,32.3587527,-88.4686468,Mississippi
ALANDAR,ALANDAR,MA,Berkshire,1889.0,1921.0,True,5.0,490,True,32.0,True,ALANDER,BERKSHIRE,MA,618850.0,Post Office,Alander Post Office (historical),Berkshire,42.0862021,-73.4620633,503.0,0.857142857142857,42.0862021,-73.4620633,Massachusetts
ALANTHUS,ALANTHUS,TN,Hancock,1894.0,1905.0,True,4.0,491,True,11.0,True,ALANTHUS,HANCOCK,TN,1314569.0,Populated Place,Alanthus,Hancock,36.5653638,-83.3915708,411.0,1.0,36.5653638,-83.3915708,Tennessee
ALANTHUS,ALANTHUS,AL,Franklin,1881.0,1909.0,True,5.0,492,True,28.0,True,ALANTHUS,FRANKLIN,AL,119606.0,Populated Place,Alanthus,Franklin,34.4531528,-88.0614285,208.0,1.0,34.4531528,-88.0614285,Alabama
ALANTHUS GROVE,ALANTHUS GROVE,MO,Gentry,1855.0,1906.0,True,4.0,493,True,51.0,True,ALANTHUS GROVE,GENTRY,MO,730044.0,Populated Place,Alanthus Grove,Gentry,40.3069365,-94.5441279,276.0,1.0,40.3069365,-94.5441279,Missouri
ALANTHUS HILL,ALANTHUS HILL,TN,Hancock,1855.0,1935.0,False,2.0,494,True,80.0,True,ALANTHUS HILL,HANCOCK,TN,1314569.0,Populated Place,Alanthus Hill,Hancock,36.5653638,-83.3915708,411.0,1.0,36.5653638,-83.3915708,Tennessee
ALAPATTAH,ALAPATTAH,FL,Dade,1898.0,1906.0,True,4.0,496,True,8.0,True,ALLAPATTAH,MIAMI-DADE,FL,2449765.0,Post Office,Allapattah Post Office,Miami-Dade,25.8023613,-80.2253693,2.0,0.888888888888889,25.8023613,-80.2253693,Florida
ALAQUA,ALAQUA,FL,Walton,1830.0,1901.0,False,5.0,497,True,71.0,True,ALAQUA,WALTON,FL,277723.0,Church,Alaqua Church,Walton,30.6524137,-86.1552193,52.0,,30.6524137,-86.1552193,Florida
ALBANDA,ALBANDA,AL,Chambers,1908.0,1956.0,True,1.0,502,True,48.0,True,ABANDA,CHAMBERS,AL,112879.0,Populated Place,Abanda,Chambers,33.100954,-85.5296753,197.0,0.857142857142857,33.100954,-85.5296753,Alabama
ALBANY,ALBANY,LA,Caddo,1849.0,1866.0,False,7.0,503,True,17.0,True,ALBANY,CADDO,LA,552206.0,Populated Place,Albany (historical),Caddo,32.6126484,-93.8321246,66.0,1.0,32.6126484,-93.8321246,Louisiana
ALBANY,ALBANY,TN,Greene,1881.0,1911.0,True,4.0,506,True,30.0,True,ALBANY,GREENE,TN,1314570.0,Populated Place,Albany,Greene,36.2420442,-82.9109912,346.0,1.0,36.2420442,-82.9109912,Tennessee
ALBANY,ALBANY,AL,Chambers,1898.0,1899.0,True,7.0,508,True,1.0,True,ALBANY,CHAMBERS,AL,156978.0,Populated Place,Albany,Chambers,33.0362336,-85.4385612,222.0,1.0,33.0362336,-85.4385612,Alabama
ALBANY,ALBANY,AL,Morgan,1917.0,1927.0,True,1.0,509,True,10.0,True,ALBANY,MORGAN,AL,139689.0,Populated Place,Albany,Morgan,34.5967589,-86.9655633,173.0,1.0,34.5967589,-86.9655633,Alabama
ALBANY,ALBANY,ME,Oxford,1815.0,1905.0,True,3.0,513,True,90.0,True,ALBANY,OXFORD,ME,582736.0,Civil,Albany Township,Oxford,44.3213103,-70.8538356,506.0,1.0,44.3213103,-70.8538356,Maine
ALBANY,ALBANY,NH,Carroll,1848.0,1854.0,True,8.0,514,True,6.0,True,ALBANY,CARROLL,NH,871382.0,Populated Place,Albany,Carroll,43.9578493,-71.1675703,193.0,1.0,43.9578493,-71.1675703,New Hampshire
ALBANY,ALBANY,PA,Berks,1845.0,1953.0,True,1.0,516,True,108.0,True,ALBANY,BERKS,PA,1202958.0,Populated Place,Albany,Berks,40.6167599,-75.8665892,123.0,1.0,40.6167599,-75.8665892,Pennsylvania
ALBANY,ALBANY (1),VT,Orleans,1824.0,1865.0,True,3.0,517,True,41.0,True,ALBANY,ORLEANS,VT,1921664.0,Post Office,Albany Post Office,Orleans,44.7313829,-72.3792938,292.0,1.0,44.7313829,-72.3792938,Vermont
ALBANY CENTRE,ALBANY CENTRE,VT,Orleans,1870.0,1907.0,True,7.0,519,True,37.0,True,ALBANY CENTRE,ORLEANS,VT,1460391.0,Populated Place,Albany Centre,Orleans,44.7367159,-72.349551,387.0,1.0,44.7367159,-72.349551,Vermont
ALBEMARLE,ALBEMARLE,LA,Assumption,1850.0,1927.0,False,2.0,520,True,77.0,True,ALBEMARLE,ASSUMPTION,LA,542915.0,Populated Place,Albemarle,Assumption,29.8827041,-90.9748199,4.0,1.0,29.8827041,-90.9748199,Louisiana
ALBERT,ALBERT,AR,Montgomery,1910.0,1928.0,True,3.0,522,True,18.0,True,ALBERT,MONTGOMERY,AR,70416.0,Populated Place,Albert,Montgomery,34.3712168,-93.8746385,281.0,1.0,34.3712168,-93.8746385,Arkansas
ALBERT,ALBERT,GA,Lumpkin,1903.0,1905.0,True,6.0,524,True,2.0,True,ALBERT,LUMPKIN,GA,357146.0,Populated Place,Albert (historical),Lumpkin,34.4614846,-83.9432411,397.0,1.0,34.4614846,-83.9432411,Georgia
ALBERT,ALBERT,PA,Luzerne,1893.0,1909.0,True,4.0,525,True,16.0,True,ALBERT,LUZERNE,PA,1168114.0,Populated Place,Albert,Luzerne,41.1203607,-75.9310325,371.0,1.0,41.1203607,-75.9310325,Pennsylvania
ALBERTA,ALBERTA,LA,Bienville,1900.0,1927.0,True,3.0,526,True,27.0,True,ALBERTA,BIENVILLE,LA,553275.0,Populated Place,Alberta,Bienville,32.2329358,-93.1537769,59.0,1.0,32.2329358,-93.1537769,Louisiana
ALBERTA,ALBERTA,MO,Henry,1884.0,1901.0,True,5.0,527,True,17.0,True,ALBERTA,HENRY,MO,740621.0,Populated Place,Alberta,Henry,38.3639106,-93.6696555,249.0,1.0,38.3639106,-93.6696555,Missouri
ALBERTA STATION,ALBERTA STATION,AL,Wilcox,1888.0,1894.0,True,3.0,531,True,6.0,True,ALBERTA,WILCOX,AL,167601.0,Post Office,Alberta Post Office,Wilcox,32.2306973,-87.4099973,52.0,1.0,32.2306973,-87.4099973,Alabama
ALBERTON,ALBERTON,TN,Henderson,1883.0,1904.0,True,5.0,533,True,21.0,True,ALBERTON,HENDERSON,TN,1314571.0,Populated Place,Alberton,Henderson,35.69979,-88.3164329,139.0,1.0,35.69979,-88.3164329,Tennessee
ALBERTON,ALBERTON,AL,Coffee,1978.0,1904.0,True,5.0,534,True,-74.0,True,ALBERTON,COFFEE,AL,112969.0,Populated Place,Alberton,Coffee,31.2779473,-86.1257796,52.0,1.0,31.2779473,-86.1257796,Alabama
ALBERT'S,ALBERT'S,PA,Luzerne,1852.0,1880.0,False,6.0,535,True,28.0,True,ALBERTS,LUZERNE,PA,1213946.0,Populated Place,Alberts,Luzerne,41.2103599,-75.8965859,217.0,1.0,41.2103599,-75.8965859,Pennsylvania
ALBERTSON,ALBERTSON,MS,Union,1837.0,1841.0,True,6.0,536,True,4.0,True,ALBERSON,UNION,MS,706085.0,Locale,Alberson (historical),Union,34.5187123,-89.0253425,123.0,0.888888888888889,34.5187123,-89.0253425,Mississippi
ALBIN,ALBIN,MS,Tallahatchie,1898.0,1930.0,True,2.0,540,True,32.0,True,ALBIN,TALLAHATCHIE,MS,666174.0,Populated Place,Albin,Tallahatchie,33.9134472,-90.3298123,47.0,1.0,33.9134472,-90.3298123,Mississippi
ALBION,ALBION,AR,White,1892.0,1913.0,True,4.0,542,True,21.0,True,ALBION,WHITE,AR,45802.0,Populated Place,Albion,White,35.3425829,-91.7895848,83.0,1.0,35.3425829,-91.7895848,Arkansas
ALBION,ALBION,NY,Wayne,1825.0,1826.0,True,8.0,546,True,1.0,True,ALBION,WAYNE,NY,962897.0,Populated Place,Albion,Wayne,43.1536764,-76.8785724,128.0,1.0,43.1536764,-76.8785724,New York
ALBRITON,ALBRITON,SC,Dillon,1885.0,1904.0,True,5.0,555,True,19.0,True,ALBRITON,DILLON,SC,1247712.0,Church,Albriton Church,Dillon,34.56794,-79.4031016,44.0,,34.56794,-79.4031016,South Carolina
ALBURG,ALBURG(H),NY,Franklin,1875.0,1906.0,True,4.0,556,True,31.0,True,ALBURG,FRANKLIN,NY,942250.0,Populated Place,Alburg,Franklin,44.7772765,-74.5815683,140.0,1.0,44.7772765,-74.5815683,New York
ALBURG SPRINGS,ALBURG(H) SPRINGS,VT,Grand Isle,1835.0,1909.0,True,3.0,558,True,74.0,True,ALBURG SPRINGS,GRAND ISLE,VT,1456123.0,Populated Place,Alburg Springs,Grand Isle,44.9919848,-73.2229068,39.0,1.0,44.9919848,-73.2229068,Vermont
ALBURGH,ALBURGH (1),VT,Grand Isle,1817.0,1869.0,True,4.0,559,True,52.0,True,ALBURGH,GRAND ISLE,VT,1918502.0,Post Office,Alburgh Post Office,Grand Isle,44.9756837,-73.3009018,37.0,1.0,44.9756837,-73.3009018,Vermont
ALBURGH CENTER,ALBURGH CENTER(RE),VT,Grand Isle,1869.0,1906.0,True,4.0,560,True,37.0,True,ALBURGH CENTRE,GRAND ISLE,VT,1456121.0,Populated Place,Alburgh Centre,Grand Isle,44.9536516,-73.2698525,37.0,1.0,44.9536516,-73.2698525,Vermont
ALCO,ALCO,LA,Vernon,1922.0,1981.0,True,1.0,564,True,59.0,True,ALCO,VERNON,LA,549972.0,Populated Place,Alco,Vernon,31.3343454,-93.1307188,95.0,1.0,31.3343454,-93.1307188,Louisiana
ALCO,ALCO,AL,Escambia,1888.0,1897.0,True,6.0,565,True,9.0,True,ALCO,ESCAMBIA,AL,137020.0,Church,Alco Baptist Church,Escambia,31.1024001,-87.0905257,49.0,,31.1024001,-87.0905257,Alabama
ALCO,ALCO,AR,Stone,1878.0,2002.0,True,1.0,566,True,124.0,True,ALCO,STONE,AR,84701.0,Post Office,Alco Post Office,Stone,35.8872972,-92.3662688,335.0,1.0,35.8872972,-92.3662688,Arkansas
ALCORA,ALCORA,MO,Newton,1899.0,1901.0,True,6.0,570,True,2.0,True,ALCORA,NEWTON,MO,746334.0,Locale,Alcora,Newton,36.9242314,-94.4438318,339.0,1.0,36.9242314,-94.4438318,Missouri
ALCORN,ALCORN,MS,Alcorn,1897.0,1899.0,True,7.0,571,True,2.0,True,ALCORN,ALCORN,MS,684637.0,Locale,Alcorn (historical),Alcorn,34.848701,-88.4972707,128.0,1.0,34.848701,-88.4972707,Mississippi
ALCORN,ALCORN,MS,Claiborne,1905.0,1954.0,True,1.0,572,True,49.0,True,ALCORN,CLAIBORNE,MS,666176.0,Populated Place,Alcorn,Claiborne,31.8779382,-91.1392755,82.0,1.0,31.8779382,-91.1392755,Mississippi
ALCOT,ALCOT,SC,Lee,1894.0,1906.0,True,5.0,573,True,12.0,True,ALCOT,LEE,SC,1227861.0,Populated Place,Alcot,Lee,34.2507099,-80.1800695,64.0,1.0,34.2507099,-80.1800695,South Carolina
ALCOVA,ALCOVA,GA,Gwinnett,1855.0,1857.0,True,9.0,574,True,2.0,True,ALCOVA,GWINNETT,GA,2546003.0,School,Alcova Elementary School,Gwinnett,33.9682093,-83.8987554,331.0,1.0,33.9682093,-83.8987554,Georgia
ALCOVEY,ALCOVEY,GA,Newton,1893.0,1901.0,False,6.0,576,True,8.0,True,ALCOVY,NEWTON,GA,326153.0,Populated Place,Alcovy,Newton,33.6398376,-83.7868455,219.0,0.857142857142857,33.6398376,-83.7868455,Georgia
ALDAN,ALDAN,PA,Delaware,1900.0,1925.0,True,1.0,577,True,25.0,True,ALDAN,DELAWARE,PA,1168125.0,Populated Place,Aldan,Delaware,39.9215014,-75.2879632,41.0,1.0,39.9215014,-75.2879632,Pennsylvania
ALDEN,ALDEN,AL,Jefferson,1934.0,1979.0,True,1.0,578,True,45.0,True,ALDEN,JEFFERSON,AL,112973.0,Populated Place,Alden,Jefferson,33.6389941,-86.9652734,165.0,1.0,33.6389941,-86.9652734,Alabama
